doc_id,sec_code,period_end,category_key,category_en,category_custom,headcount,total_yen,avg_per_head_yen,fixed_yen,base_yen,performance_yen,bonus_yen,non_monetary_yen,retirement_yen,other_components_yen,other_components,components_reconcile
S100YR8L,6656,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,55500000.0,13875000,,41892000.0,,8100000.0,5508000.0,,5508000.0,ShareOptionRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,0
S100YR8L,6656,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,6751000.0,6751000,,6694000.0,,,57000.0,,57000.0,ShareOptionRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YR8L,6656,2026-04-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,9685000.0,1937000,,8276000.0,,1150000.0,259000.0,,259000.0,ShareOptionRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YRA2,9238,2024-02-29,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,2.0,48200000.0,24100000,48200000.0,,,,,,,,1
S100YRA2,9238,2024-02-29,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YRA2,9238,2024-02-29,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,4.0,10800000.0,2700000,10800000.0,,,,,,,,1
S100YRA3,9238,2025-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,54250000.0,18083333,54250000.0,,,,,,,,1
S100YRA3,9238,2025-02-28,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YRA3,9238,2025-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,4.0,10800000.0,2700000,10800000.0,,,,,,,,1
S100YRA4,9238,2026-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,62250000.0,20750000,62250000.0,,,,,,,,1
S100YRA4,9238,2026-02-28,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YRA4,9238,2026-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,4.0,10800000.0,2700000,10800000.0,,,,,,,,1
S100YQ47,6943,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,95300000.0,31766667,65700000.0,,18300000.0,,,11300000.0,,,1
S100YQ47,6943,2026-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,11000000.0,11000000,7200000.0,,3300000.0,,,500000.0,,,1
S100YQ47,6943,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,14620000.0,2924000,13920000.0,,,,,700000.0,,,1
S100YQ6Y,8267,2026-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,,,,,,,,,,,,
S100YQ6Y,8267,2026-02-28,ExecutiveOfficersMember,Executive officers,0,17.0,1184000000.0,69647059,,534000000.0,,,,,648000000.0,PerformanceRemunerationRemunerationEtcByCategoryOfDirectorsAndOtherOfficers|ShareOptionRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100YQ6Y,8267,2026-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,102000000.0,20400000,,102000000.0,,,,,,,1
