doc_id,edinet_code,sec_code,listed,industry,company_ja,company_en,period_end,filing_date,representative,board_size,male_officers,female_officers,female_ratio_filed,female_ratio_calc,officers_tagged,officers_untagged,avg_age,avg_tenure,avg_salary_yen,female_managers_ratio,gender_pay_gap_all,male_childcare_leave,pay_total_yen,named_pay_count,status,detail
S100YIC4,E02658,8138,listed,卸売業,三京化成株式会社,SANKYO KASEI CORPORATION,2026-03-31,2026-06-23,代表取締役社長 小 川 和 夫,10,8.0,2.0,0.2,0.2,10.0,0.0,41.1,15.1,6150000.0,,,,115324000.0,0,clean,
S100YIC9,E00345,2001,listed,食料品,株式会社ニップン,NIPPN CORPORATION,2026-03-31,2026-06-23,代表取締役社長 前鶴 俊哉,12,9.0,3.0,0.25,0.25,12.0,0.0,39.0,14.0,7579460.0,0.1,0.733,,327000000.0,0,clean,
S100YID4,E27759,3291,listed,不動産業,飯田グループホールディングス株式会社,"Iida Group Holdings Co.,Ltd.",2026-03-31,2026-06-23,代表取締役社長 西野 弘,16,13.0,3.0,0.188,0.1875,16.0,0.0,44.2,4.9,7651000.0,0.042,0.634,,212000000.0,1,clean,
S100YIDD,E01905,6951,listed,電気機器,日本電子株式会社,JEOL Ltd.,2026-03-31,2026-06-23,代表取締役社長兼CEO 大井 泉,13,11.0,2.0,0.154,0.1538,13.0,0.0,44.6,15.9,8575000.0,0.063,0.839,,373000000.0,0,clean,
S100YIDU,E00142,1929,listed,建設業,日特建設株式会社,"NITTOC CONSTRUCTION CO., LTD.",2026-03-31,2026-06-23,代表取締役社長 上 直人,13,11.0,2.0,0.153,0.1538,13.0,0.0,46.0,18.5,8502918.0,0.037,0.669,,224000000.0,0,clean,
S100YIEN,E34097,7040,listed,サービス業,株式会社サン・ライフホールディング,"SUN・LIFE HOLDING CO.,LTD.",2026-03-31,2026-06-23,代表取締役社長 比企 武,11,9.0,2.0,0.182,0.1818,11.0,0.0,39.6,8.6,5240000.0,0.182,0.766,,176520000.0,0,clean,
S100YIGO,E04855,9691,listed,情報・通信業,株式会社両毛システムズ,"RYOMO SYSTEMS CO.,LTD.",2026-03-31,2026-06-23,代表取締役社長 北 澤 直 来,9,8.0,1.0,0.111,0.1111,9.0,0.0,41.5,16.2,6590812.0,0.066,0.789,,153670000.0,0,clean,
S100YIJ0,E02189,6493,listed,輸送用機器,株式会社NITTAN,NITTAN Corporation,2026-03-31,2026-06-23,代表取締役社長 李 太煥,13,11.0,2.0,0.154,0.1538,13.0,0.0,45.8,20.0,6726921.0,0.011,0.594,,167543000.0,0,clean,
S100Y38P,E01993,6918,listed,電気機器,株式会社アバールデータ,AVAL DATA CORPORATION,2026-03-31,2026-06-24,代表取締役社長 菊 地 豊,9,8.0,1.0,0.111,0.1111,9.0,0.0,43.2,16.2,6328000.0,,,,132149000.0,0,clean,
S100Y7GN,E04944,9780,listed,サービス業,株式会社ハリマビステム,HARIMA B.STEM CORPORATION,2026-03-31,2026-06-24,代表取締役社長 免 出 一 郎,10,9.0,1.0,0.1,0.1,10.0,0.0,49.7,9.6,4531559.0,0.074,0.73,,362000000.0,0,clean,
S100Y9OD,E02205,7280,listed,電気機器,株式会社ミツバ,MITSUBA Corporation,2026-03-31,2026-06-24,代表取締役社長 日野 貞実,8,7.0,1.0,0.125,0.125,8.0,0.0,42.37,19.06,5964590.0,0.024,0.718,,133000000.0,0,clean,
S100YA7K,E04283,9301,listed,倉庫・運輸関連,三菱倉庫株式会社,Mitsubishi Logistics Corporation,2026-03-31,2026-06-24,代表取締役 社長 斉 藤 秀 親,15,14.0,1.0,0.06,0.0667,15.0,0.0,40.7,15.6,9430883.0,0.048,0.666,,601000000.0,0,clean,
S100YBLA,E03856,8802,listed,不動産業,三菱地所株式会社,"Mitsubishi Estate Company, Limited",2026-03-31,2026-06-24,代表執行役 執行役社長 中 島 篤,14,24.0,2.0,0.077,0.1429,26.0,12.0,42.0,16.0,17593300.0,0.135,0.543,,2175000000.0,7,clean,
S100YBQV,E00024,5706,listed,非鉄金属,三井金属株式会社(旧会社名 三井金属鉱業株式会社),"Mitsui Kinzoku Company, Limited (旧英訳名 Mitsui Mining and Smelting Company, Limited)(注)2025年6月27日開催の第100期定時株主総会の決議により、2025 年10月1日から会社名を上記のとおり変更いたしました。",2026-03-31,2026-06-24,代表取締役社長 池信 省爾,10,8.0,2.0,0.2,0.2,10.0,0.0,42.88,13.9,8961728.0,0.018,0.681,,629000000.0,3,clean,
S100YC7J,E04499,9503,listed,電気・ガス業,関西電力株式会社,"The Kansai Electric Power Company, Incorporated",2025-03-31,2025-06-25,代表執行役社長 森 望,13,20.0,5.0,0.2,0.3846,25.0,12.0,42.6,19.8,9732263.0,0.043,0.652,,975000000.0,5,clean,
S100YC9N,E01242,5480,listed,鉄鋼,日本冶金工業株式会社,"Nippon Yakin Kogyo Co.,Ltd.",2026-03-31,2026-06-24,代表取締役社長 浦田 成己,14,12.0,2.0,0.143,0.1429,14.0,0.0,44.1,20.6,7798354.0,0.006,0.7,,350000000.0,0,clean,
S100YCD2,E04414,9409,listed,情報・通信業,株式会社テレビ朝日ホールディングス,TV Asahi Holdings Corporation,2026-03-31,2026-06-24,代表取締役会長 早 河 洋,14,11.0,3.0,0.214,0.2143,14.0,0.0,,,,,,,261000000.0,0,clean,
