doc_id,sec_code,period_end,person_key,name_en,consolidated_pay_yen,voluntary_below_100m,on_board_at_filing
S100YGBO,6501,2026-03-31,chie-mashima,Chie Mashima,124000000,0,0
S100YGBO,6501,2026-03-31,yuto-matsumura,Yuto Matsumura,110000000,0,0
S100YGBO,6501,2026-03-31,yoda-takashi,Yoda Takashi,125000000,0,0
S100YGBO,6501,2026-03-31,kojima-keiji,Kojima Keiji,409000000,0,0
S100YGBO,6501,2026-03-31,andrew-barr,Andrew Barr,144000000,0,0
S100YGCS,2181,2026-03-31,mizuta-masamichi,Mizuta Masamichi,69000000,1,1
S100YGCS,2181,2026-03-31,wada-takao,Wada Takao,143000000,0,1
S100YGCZ,8020,2026-03-31,tanigawa-kaoru,Tanigawa Kaoru,108000000,0,1
S100YGCZ,8020,2026-03-31,miyabe-yoshiya,Miyabe Yoshiya,108000000,0,1
S100YGH5,9984,2026-03-31,son-masayoshi,Son Masayoshi,100000000,0,1
S100YGH5,9984,2026-03-31,goto-yoshimitsu,Goto Yoshimitsu,501000000,0,1
S100YGH5,9984,2026-03-31,rene-haas,Rene Haas,6139000000,0,1
S100YGIC,4732,2026-03-31,ando-yukihiro,Ando Yukihiro,194000000,0,1
S100YGIC,4732,2026-03-31,seta-dai,Seta Dai,172000000,0,1
S100YGQB,7988,2026-03-31,shibao-masaharu,Shibao Masaharu,113000000,0,1
S100YGU2,1966,2026-03-31,takada-juichiro,Takada Juichiro,133661000,0,1
S100YGUI,4183,2026-03-31,hashimoto-osamu,Hashimoto Osamu,127000000,0,1
S100YGWF,2127,2026-03-31,miyake-suguru,Miyake Suguru,246000000,0,1
S100YGWF,2127,2026-03-31,naraki-takamaro,Naraki Takamaro,180000000,0,1
S100YGWF,2127,2026-03-31,otsuki-masahiko,Otsuki Masahiko,123000000,0,1
S100YGWF,2127,2026-03-31,takeuchi-naoki,Takeuchi Naoki,215000000,0,1
S100YGX6,7220,2026-03-31,otsuka-hiroshi,Otsuka Hiroshi,142000000,0,1
