# Municipality centroids: median of Geolonia Japanese-addresses (CC BY 4.0,
# https://github.com/geolonia/japanese-addresses, snapshot 2023-11-15).
# Attribution required wherever coordinates derived from this file are displayed.
code,pref,city,lat,lng
09201,栃木県,宇都宮市,36.55895,139.88158
09202,栃木県,足利市,36.33408,139.46307
09203,栃木県,栃木市,36.37661,139.7178
09204,栃木県,佐野市,36.32402,139.57917
09205,栃木県,鹿沼市,36.56055,139.74834
09206,栃木県,日光市,36.73943,139.64358
09208,栃木県,小山市,36.30851,139.80263
09209,栃木県,真岡市,36.43278,139.98477
09210,栃木県,大田原市,36.86304,140.04002
09211,栃木県,矢板市,36.80297,139.92749
09213,栃木県,那須塩原市,36.9376,139.99405
09214,栃木県,さくら市,36.70988,139.98746
09215,栃木県,那須烏山市,36.65689,140.13863
09216,栃木県,下野市,36.39096,139.85616
09301,栃木県,河内郡上三川町,36.44563,139.90829
09342,栃木県,芳賀郡益子町,36.46064,140.09643
09343,栃木県,芳賀郡茂木町,36.54848,140.18703
09344,栃木県,芳賀郡市貝町,36.56965,140.10767
09345,栃木県,芳賀郡芳賀町,36.5465,140.05187
09361,栃木県,下都賀郡壬生町,36.46087,139.82058
09364,栃木県,下都賀郡野木町,36.23055,139.74297
09384,栃木県,塩谷郡塩谷町,36.7636,139.85376
09386,栃木県,塩谷郡高根沢町,36.62236,140.00509
09407,栃木県,那須郡那須町,37.00201,140.13842
09411,栃木県,那須郡那珂川町,36.75149,140.1511
10201,群馬県,前橋市,36.39405,139.08071
10202,群馬県,高崎市,36.33228,139.00515
10203,群馬県,桐生市,36.41308,139.33763
10204,群馬県,伊勢崎市,36.31886,139.21309
10205,群馬県,太田市,36.29747,139.34361
10206,群馬県,沼田市,36.65364,139.06137
10207,群馬県,館林市,36.24612,139.53408
10208,群馬県,渋川市,36.50599,139.01563
10209,群馬県,藤岡市,36.23944,139.05985
10210,群馬県,富岡市,36.26382,138.8615
10211,群馬県,安中市,36.32442,138.8572
10212,群馬県,みどり市,36.47614,139.2963
10344,群馬県,北群馬郡榛東村,36.44649,138.96697
10345,群馬県,北群馬郡吉岡町,36.44369,139.00251
10366,群馬県,多野郡上野村,36.07399,138.77012
10367,群馬県,多野郡神流町,36.11004,138.88003
10382,群馬県,甘楽郡下仁田町,36.2107,138.76737
10383,群馬県,甘楽郡南牧村,36.15992,138.70266
10384,群馬県,甘楽郡甘楽町,36.23361,138.92614
10421,群馬県,吾妻郡中之条町,36.5984,138.83423
10424,群馬県,吾妻郡長野原町,36.54394,138.63474
10425,群馬県,吾妻郡嬬恋村,36.53326,138.5316
10426,群馬県,吾妻郡草津町,36.6184,138.5758
10428,群馬県,吾妻郡高山村,36.62243,138.93572
10429,群馬県,吾妻郡東吾妻町,36.53128,138.80908
10443,群馬県,利根郡片品村,36.76329,139.23117
10444,群馬県,利根郡川場村,36.70084,139.10543
10448,群馬県,利根郡昭和村,36.61984,139.10027
10449,群馬県,利根郡みなかみ町,36.73487,138.97042
10464,群馬県,佐波郡玉村町,36.30116,139.12635
10521,群馬県,邑楽郡板倉町,36.22662,139.62457
10522,群馬県,邑楽郡明和町,36.20788,139.53306
