# English labels for the standard EDINET taxonomy elements,
# copied from the FSA's published element and account lists:
#   https://www.fsa.go.jp/search/20211109/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20221108/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20231211/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20241112/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20251111/  (1e, 1f, 1g)
# Rebuild with: python -m equity.taxonomy_labels --edition <YYYYMMDD>
element,label_en
jpcrp_cor:AuditFirm2ConsolidatedPriorYear,Audit firm 2
jpcrp_cor:AuditFirm2NonConsolidated,Audit firm 2
jpcrp_cor:AuditFirm2NonConsolidatedPriorYear,Audit firm 2
jpcrp_cor:AuditFirm2QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,Audit firm 2
jpcrp_cor:AuditFirm2QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,Audit firm 2
jpcrp_cor:AuditFirm2SemiAnnualPeriodOfNextFiscalYearConsolidated,Audit firm 2
jpcrp_cor:AuditFirm2SemiAnnualPeriodOfNextFiscalYearNonConsolidated,Audit firm 2
jpcrp_cor:AuditOpinionConsolidatedPriorYearTextBlock,Audit opinion
jpcrp_cor:AuditOpinionConsolidatedTextBlock,Audit opinion
jpcrp_cor:AuditOpinionNonConsolidatedPriorYearTextBlock,Audit opinion
jpcrp_cor:AuditOpinionNonConsolidatedTextBlock,Audit opinion
jpcrp_cor:AuditOpinionSemiAnnualPeriodOfNextFiscalYearConsolidatedTextBlock,Audit opinion
jpcrp_cor:AuditOpinionSemiAnnualPeriodOfNextFiscalYearNonConsolidatedTextBlock,Audit opinion
jpcrp_cor:AuditorsResponseKAMConsolidatedPriorYearTextBlock,Auditor's response
jpcrp_cor:AuditorsResponseKAMConsolidatedTextBlock,Auditor's response
jpcrp_cor:AuditorsResponseKAMNonConsolidatedPriorYearTextBlock,Auditor's response
jpcrp_cor:AuditorsResponseKAMNonConsolidatedTextBlock,Auditor's response
jpcrp_cor:AuditsHeading,Audits
jpcrp_cor:AuditsTextBlock,Audits
jpcrp_cor:AverageAgeMonthsInformationAboutReportingCompanyInformationAboutEmployees,Average age (Months)
jpcrp_cor:AverageAgeYearsInformationAboutReportingCompanyInformationAboutEmployees,Average age (Years)
jpcrp_cor:AverageAnnualSalaryInformationAboutReportingCompanyInformationAboutEmployees,Average annual salary
jpcrp_cor:AverageLengthOfServiceMonthsInformationAboutReportingCompanyInformationAboutEmployees,Average length of service (Months)
jpcrp_cor:AverageLengthOfServiceYearsInformationAboutReportingCompanyInformationAboutEmployees,Average length of service (Years)
jpcrp_cor:AverageNumberOfTemporaryWorkers,Average number of temporary employees
jpcrp_cor:BalanceSheetRecentFinancialStatementsHeading,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsOfReportingCompanyOrTrackedCompanyHeading,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsOfReportingCompanyOrTrackedCompanyTextBlock,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsOfTrackedCompanyHeading,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsOfTrackedCompanyTextBlock,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsOrFinancialDocumentsOfGuaranteeCompanyOrTrackedSubsidiaryHeading,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsOrFinancialDocumentsOfGuaranteeCompanyOrTrackedSubsidiaryTextBlock,Balance sheet
jpcrp_cor:BalanceSheetRecentFinancialStatementsTextBlock,Balance sheet
jpcrp_cor:BalanceSheetTextBlock,Balance sheet
jpcrp_cor:BaseRemunerationRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,Basic remuneration
jpcrp_cor:BasicEarningsLossPerShareIFRSSummaryOfBusinessResults,Basic earnings (loss) per share
jpcrp_cor:BasicEarningsLossPerShareJMISSummaryOfBusinessResults,Basic earnings (loss) per share
jpcrp_cor:BasicEarningsLossPerShareSummaryOfBusinessResults,Basic earnings (loss) per share
jpcrp_cor:BasicEarningsLossPerShareUSGAAPSummaryOfBusinessResults,Basic earnings (loss) per share
jpcrp_cor:BasicPolicyRegardingControlOfCompanyTextBlock,Basic policy regarding control of company
jpcrp_cor:BonusRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,Bonus
jpcrp_cor:BookValueDetailsOfDeemedHoldingsOfEquitySecuritiesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueDetailsOfDeemedHoldingsOfEquitySecuritiesHeldForPurposesOtherThanPureInvestmentReportingCompany,Carrying amount
jpcrp_cor:BookValueDetailsOfDeemedHoldingsOfEquitySecuritiesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueDetailsOfSpecifiedInvestmentEquitySecuritiesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueDetailsOfSpecifiedInvestmentEquitySecuritiesHeldForPurposesOtherThanPureInvestmentReportingCompany,Carrying amount
jpcrp_cor:BookValueDetailsOfSpecifiedInvestmentEquitySecuritiesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueEquitySecuritiesNotListedInvestmentEquitySecuritiesHeldForPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueEquitySecuritiesNotListedInvestmentEquitySecuritiesHeldForPureInvestmentReportingCompany,Carrying amount
jpcrp_cor:BookValueEquitySecuritiesNotListedInvestmentEquitySecuritiesHeldForPureInvestmentSecondLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueEquitySecuritiesOtherThanThoseNotListedInvestmentEquitySecuritiesHeldForPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueEquitySecuritiesOtherThanThoseNotListedInvestmentEquitySecuritiesHeldForPureInvestmentReportingCompany,Carrying amount
jpcrp_cor:BookValueEquitySecuritiesOtherThanThoseNotListedInvestmentEquitySecuritiesHeldForPureInvestmentSecondLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueInvestmentEquitySecuritiesReclassifiedFromHeldForPureInvestmentToHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueInvestmentEquitySecuritiesReclassifiedFromHeldForPureInvestmentToHeldForPurposesOtherThanPureInvestmentReportingCompany,Carrying amount
jpcrp_cor:BookValueInvestmentEquitySecuritiesReclassifiedFromHeldForPureInvestmentToHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueInvestmentEquitySecuritiesReclassifiedFromHeldForPurposesOtherThanPureInvestmentToHeldForPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:BookValueInvestmentEquitySecuritiesReclassifiedFromHeldForPurposesOtherThanPureInvestmentToHeldForPureInvestmentReportingCompany,Carrying amount
jpcrp_cor:BookValueInvestmentEquitySecuritiesReclassifiedFromHeldForPurposesOtherThanPureInvestmentToHeldForPureInvestmentSecondLargestHoldingCompany,Carrying amount
jpcrp_cor:BreakdownOfBrokerageIncomeCMDTextBlock,Breakdown of brokerage income
jpcrp_cor:BreakdownOfBusinessCostTextBlock,Breakdown of business costs
jpcrp_cor:BreakdownOfCommissionsAndCollectionFeesINSTextBlock,Breakdown of commissions and collection fees
jpcrp_cor:BreakdownOfFinancialExpensesSECTextBlock,Breakdown of financial expenses
jpcrp_cor:BreakdownOfFinancialRevenueSECTextBlock,Breakdown of financial revenue
jpcrp_cor:BreakdownOfGainOnSalesOfSecuritiesTextBlock,Breakdown of gain on sale of securities
jpcrp_cor:BreakdownOfInterestAndDividendIncomeBySourceAssetINSTextBlock,Breakdown of interest and dividend income by source asset
jpcrp_cor:BreakdownOfLossOnSalesOfSecuritiesTextBlock,Breakdown of loss on sale of securities
jpcrp_cor:BreakdownOfLossOnValuationOfSecuritiesTextBlock,Breakdown of loss on valuation of securities
jpcrp_cor:BreakdownOfNetClaimsPaidINSTextBlock,Breakdown of net claims paid
jpcrp_cor:BreakdownOfNetGainOnTradingCMDTextBlock,Breakdown of net gain on trading
jpcrp_cor:BreakdownOfNetPremiumsWrittenINSTextBlock,Breakdown of net premiums written
jpcrp_cor:BreakdownOfNetTradingIncomeSECTextBlock,Breakdown of net trading income
jpcrp_cor:BreakdownOfOutstandingClaimsINSTextBlock,Breakdown of outstanding claims
jpcrp_cor:BreakdownOfPersonnelExpensesTextBlock,Breakdown of personnel expenses
jpcrp_cor:BreakdownOfPolicyReserveINSTextBlock,Breakdown of policy reserve
jpcrp_cor:BreakdownOfProvisionForOrReversalOfOutstandingClaimsINSTextBlock,Breakdown of provision for or reversal of outstanding claims
jpcrp_cor:BreakdownOfProvisionForOrReversalOfUnderwritingReservesINSTextBlock,Breakdown of provision for or reversal of underwriting reserves
jpcrp_cor:BreakdownOfTradingAccountSecuritiesEtcSECTextBlock,Breakdown of trading securities etc.
jpcrp_cor:BusinessPolicyBusinessEnvironmentIssuesToAddressEtcHeading,"Management policy, business environment, issues to address"
jpcrp_cor:BusinessPolicyBusinessEnvironmentIssuesToAddressEtcTextBlock,"Management policy, business environment, issues to address"
jpcrp_cor:BusinessResultsOfGroupHeading,Key financial data of group
jpcrp_cor:BusinessResultsOfGroupLineItems,Business results of group
jpcrp_cor:BusinessResultsOfGroupTable,Business results of group
jpcrp_cor:BusinessResultsOfGroupTextBlock,Key financial data of group
jpcrp_cor:BusinessResultsOfReportingCompanyHeading,Key financial data of reporting company
jpcrp_cor:BusinessResultsOfReportingCompanyLineItems,Business results of reporting company
jpcrp_cor:BusinessResultsOfReportingCompanyTable,Business results of reporting company
jpcrp_cor:BusinessResultsOfReportingCompanyTextBlock,Key financial data of reporting company
jpcrp_cor:BusinessRisksHeading,Business risks
jpcrp_cor:BusinessRisksTextBlock,Business risks
jpcrp_cor:CPA1AuditFirm1Consolidated,CPA 1
jpcrp_cor:CPA1AuditFirm1ConsolidatedPriorYear,CPA 1
jpcrp_cor:CPA1AuditFirm1NonConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm1NonConsolidatedPriorYear,CPA 1
jpcrp_cor:CPA1AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm1SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm1SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm2Consolidated,CPA 1
jpcrp_cor:CPA1AuditFirm2ConsolidatedPriorYear,CPA 1
jpcrp_cor:CPA1AuditFirm2NonConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm2NonConsolidatedPriorYear,CPA 1
jpcrp_cor:CPA1AuditFirm2QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm2QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm2SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 1
jpcrp_cor:CPA1AuditFirm2SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 1
jpcrp_cor:CPA2AuditFirm1Consolidated,CPA 2
jpcrp_cor:CPA2AuditFirm1ConsolidatedPriorYear,CPA 2
jpcrp_cor:CPA2AuditFirm1NonConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm1NonConsolidatedPriorYear,CPA 2
jpcrp_cor:CPA2AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm1SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm1SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm2Consolidated,CPA 2
jpcrp_cor:CPA2AuditFirm2ConsolidatedPriorYear,CPA 2
jpcrp_cor:CPA2AuditFirm2NonConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm2NonConsolidatedPriorYear,CPA 2
jpcrp_cor:CPA2AuditFirm2QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm2QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm2SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 2
jpcrp_cor:CPA2AuditFirm2SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 2
jpcrp_cor:CPA3AuditFirm1Consolidated,CPA 3
jpcrp_cor:CPA3AuditFirm1ConsolidatedPriorYear,CPA 3
jpcrp_cor:CPA3AuditFirm1NonConsolidated,CPA 3
jpcrp_cor:CPA3AuditFirm1NonConsolidatedPriorYear,CPA 3
jpcrp_cor:CPA3AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 3
jpcrp_cor:CPA3AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 3
jpcrp_cor:CPA3AuditFirm1SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 3
jpcrp_cor:CPA3AuditFirm1SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 3
jpcrp_cor:CPA4AuditFirm1Consolidated,CPA 4
jpcrp_cor:CPA4AuditFirm1ConsolidatedPriorYear,CPA 4
jpcrp_cor:CPA4AuditFirm1NonConsolidated,CPA 4
jpcrp_cor:CPA4AuditFirm1NonConsolidatedPriorYear,CPA 4
jpcrp_cor:CPA4AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 4
jpcrp_cor:CPA4AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 4
jpcrp_cor:CPA4AuditFirm1SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 4
jpcrp_cor:CPA4AuditFirm1SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 4
jpcrp_cor:CPA5AuditFirm1Consolidated,CPA 5
jpcrp_cor:CPA5AuditFirm1ConsolidatedPriorYear,CPA 5
jpcrp_cor:CPA5AuditFirm1NonConsolidated,CPA 5
jpcrp_cor:CPA5AuditFirm1NonConsolidatedPriorYear,CPA 5
jpcrp_cor:CPA5AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 5
jpcrp_cor:CPA5AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 5
jpcrp_cor:CPA5AuditFirm1SemiAnnualPeriodOfNextFiscalYearConsolidated,CPA 5
jpcrp_cor:CPA5AuditFirm1SemiAnnualPeriodOfNextFiscalYearNonConsolidated,CPA 5
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo10SemiannualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 10 Semi-annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo1122ShelfRegistrationStatementHeading,Disclosure of Corporate Information Form No. 11-2-2 Shelf Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo112ShelfRegistrationStatementHeading,Disclosure of Corporate Information Form No. 11-2 Shelf Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo11ShelfRegistrationStatementHeading,Disclosure of Corporate Information Form No. 11 Shelf Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo122ShelfRegistrationSupplementsHeading,Disclosure of Corporate Information Form No. 12-2 Shelf Registration Supplements
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo12ShelfRegistrationSupplementsHeading,Disclosure of Corporate Information Form No. 12 Shelf Registration Supplements
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo22SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2-2 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo23SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2-3 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo24SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2-4 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo25SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2-5 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo26SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2-6 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo27SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2-7 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo2SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 2 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo32AnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 3-2 Annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo3AnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 3 Annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo43QuarterlySecuritiesReportHeading,Disclosure of Corporate Information Form No. 4-3 Quarterly Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo43SemiAnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 4-3 Semi-annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo4AnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 4 Annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo52SemiannualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 5-2 Semi-annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo5SemiannualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 5 Semi-annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo74SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 7-4 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo7SecuritiesRegistrationStatementHeading,Disclosure of Corporate Information Form No. 7 Securities Registration Statement
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo8AnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 8 Annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo93QuarterlySecuritiesReportHeading,Disclosure of Corporate Information Form No. 9-3 Quarterly Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo93SemiAnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 9-3 Semi-annual Securities Report
jpcrp_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo9AnnualSecuritiesReportHeading,Disclosure of Corporate Information Form No. 9 Annual Securities Report
jpcrp_cor:CalculatedBasedOnProvisionsOfActOnPromotionOfWomensActiveEngagementInProfessionalLifeRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompanyAbstract,Calculated based on provisions of Act on Promotion of Women's Active Engagement in Professional Life
jpcrp_cor:CalculatedBasedOnProvisionsOfArticle714Item1OfOrdinanceForEnforcementOfActOnChildcareLeaveCaregiverLeaveAndOtherMeasuresForTheWelfareOfWorkersCaringForChildrenOrOtherFamilyMembersRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompanyAbstract,"Calculated based on provisions of article 71-6 item (1) of ordinance for enforcement of Act on Childcare Leave, Caregiver Leave, and Other Measures for the Welfare of Workers Caring for Children or Other Family Members"
jpcrp_cor:CalculatedBasedOnProvisionsOfArticle714Item2OfOrdinanceForEnforcementOfActOnChildcareLeaveCaregiverLeaveAndOtherMeasuresForTheWelfareOfWorkersCaringForChildrenOrOtherFamilyMembersRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompanyAbstract,"Calculated based on provisions of article 71-6 item (2) of ordinance for enforcement of Act on Childcare Leave, Caregiver Leave, and Other Measures for the Welfare of Workers Caring for Children or Other Family Members"
jpcrp_cor:CapitalAdequacyRatioBISStandardSummaryOfBusinessResults,Capital adequacy ratio (BIS standard)
jpcrp_cor:CapitalAdequacyRatioDomesticStandard2SummaryOfBusinessResults,Capital adequacy ratio (domestic standard)
jpcrp_cor:CapitalAdequacyRatioDomesticStandardSummaryOfBusinessResults,Capital adequacy ratio (domestic standard)
jpcrp_cor:CapitalAdequacyRatioInternationalStandardSummaryOfBusinessResults,Capital adequacy ratio (international standard)
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtc,Capital expenditures
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtcLineItems,Capital expenditures
jpcrp_cor:CapitalExpendituresOverviewOfCapitalExpendituresEtcTable,Capital expenditures
jpcrp_cor:CapitalStockSummaryOfBusinessResults,Share capital
jpcrp_cor:CareerSummaryInformationAboutDirectorsAndCorporateAuditorsProposalTextBlock,Career summary
jpcrp_cor:CareerSummaryInformationAboutDirectorsAndCorporateAuditorsTextBlock,Career summary
jpcrp_cor:CareerSummaryInformationAboutExecutiveDirectorsProposalTextBlock,Career summary
jpcrp_cor:CareerSummaryInformationAboutExecutiveDirectorsTextBlock,Career summary
jpcrp_cor:CarryingAmountNotDisclosedAsBelowThresholdDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Carrying amount (Not disclosed as below threshold)
jpcrp_cor:CarryingAmountNotDisclosedAsBelowThresholdDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Carrying amount (Not disclosed as below threshold)
jpcrp_cor:CarryingAmountNotDisclosedAsBelowThresholdDetailsOfDeemedHoldingsOfSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Carrying amount (Not disclosed as below threshold)
jpcrp_cor:CarryingAmountNotDisclosedAsBelowThresholdDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Carrying amount (Not disclosed as below threshold)
jpcrp_cor:CarryingAmountNotDisclosedAsBelowThresholdDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Carrying amount (Not disclosed as below threshold)
jpcrp_cor:CarryingAmountNotDisclosedAsBelowThresholdDetailsOfSpecifiedInvestmentSharesHeldForPurposesOtherThanPureInvestmentSecondLargestHoldingCompany,Carrying amount (Not disclosed as below threshold)
jpcrp_cor:CarryingAmountSharesNotListedInvestmentSharesHeldForPurposesOtherThanPureInvestmentLargestHoldingCompany,Carrying amount
jpcrp_cor:CarryingAmountSharesNotListedInvestmentSharesHeldForPurposesOtherThanPureInvestmentReportingCompany,Carrying amount
