# English (Hepburn) municipality names, keyed on the five-digit municipality
# code (全国地方公共団体コード).
#
# city_en / pref_en come from Japan Post's romanized zipcode data (KEN_ALL_ROME,
# downloaded 2026-08-28, https://www.post.japanpost.jp/zipcode/download.html);
# Hamamatsu's pre-2024 wards romanized manually.
#
# city_ja is the same municipality's Japanese name, joined on the code from
# equity/gazetteer_municipalities.csv (Geolonia japanese-addresses, CC BY 4.0).
# It is here so a source that names a municipality in Japanese but gives no
# code -- the Tourism Agency's accommodation survey, for one -- can still be
# matched to a published romanization instead of one invented here.
#
# Aggregate rows (prefecture totals, designated-city totals, 郡 subtotals) are
# NOT in this file: they are derived from their members in app/place_en.py.
code,city_en,pref_en,city_ja
04401,Miyagi-gun Matsushima-machi,Miyagi,宮城郡松島町
04404,Miyagi-gun Shichigahama-machi,Miyagi,宮城郡七ヶ浜町
04406,Miyagi-gun Rifu-cho,Miyagi,宮城郡利府町
04421,Kurokawa-gun Taiwa-cho,Miyagi,黒川郡大和町
04422,Kurokawa-gun Osato-cho,Miyagi,黒川郡大郷町
04424,Kurokawa-gun Ohira-mura,Miyagi,黒川郡大衡村
04444,Kami-gun Shikama-cho,Miyagi,加美郡色麻町
04445,Kami-gun Kami-machi,Miyagi,加美郡加美町
04501,Toda-gun Wakuya-cho,Miyagi,遠田郡涌谷町
04505,Toda-gun Misato-machi,Miyagi,遠田郡美里町
04581,Oshika-gun Onagawa-cho,Miyagi,牡鹿郡女川町
04606,Motoyoshi-gun Minamisanriku-cho,Miyagi,本吉郡南三陸町
05201,Akita-shi,Akita,秋田市
05202,Noshiro-shi,Akita,能代市
05203,Yokote-shi,Akita,横手市
05204,Odate-shi,Akita,大館市
05206,Oga-shi,Akita,男鹿市
05207,Yuzawa-shi,Akita,湯沢市
05209,Kazuno-shi,Akita,鹿角市
05210,Yurihonjo-shi,Akita,由利本荘市
05211,Katagami-shi,Akita,潟上市
05212,Daisen-shi,Akita,大仙市
05213,Kitaakita-shi,Akita,北秋田市
05214,Nikaho-shi,Akita,にかほ市
05215,Semboku-shi,Akita,仙北市
05303,Kazuno-gun Kosaka-machi,Akita,鹿角郡小坂町
05327,Kitaakita-gun Kamikoani-mura,Akita,北秋田郡上小阿仁村
05346,Yamamoto-gun Fujisato-machi,Akita,山本郡藤里町
05348,Yamamoto-gun Mitane-cho,Akita,山本郡三種町
05349,Yamamoto-gun Happo-cho,Akita,山本郡八峰町
05361,Minamiakita-gun Gojome-machi,Akita,南秋田郡五城目町
05363,Minamiakita-gun Hachirogata-machi,Akita,南秋田郡八郎潟町
